 ,Australia,Brazil,Canada,Switzerland,Chile,China,Colombia,United Kingdom,Hong Kong SAR,Indonesia,India,Japan,Cambodia,Korea,Mexico,Malaysia,New Zealand,Peru,Philippines,Sweden,Singapore,Thailand,United States,Vietnam,Eurosystem,South Africa,Turkey
[11],Bank of Korea ACT Article 1 (Purpose) (1) The purpose of this Act shall be to establish the Bank of Korea and to contribute to the sound development of the national economy by pursuing price stability through the formulation and implementation of efficient monetary and credit policies. (2) The Bank of Korea shall pay attention to financial stability in carrying out its monetary and credit policies.,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],https://www.rbnz.govt.nz/monetary-policy/about-monetary-policy/monetary-policy-framework,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],"Based on Republic Act (RA) No. 7653 as amended by RA 11211, the following are also included as BSP's mandates: promotion of financial stability; overseeing the payment and settlement systems of the Philippines; and promotion of broad and convenient access to high-quality financial services.",,,,,,,,,,,,,,,,,,,,,,,,,,
[14],the Law on the State Bank of Vietnam of 2010 (Law No. 46/2010/QH12),,,,,,,,,,,,,,,,,,,,,,,,,,
[15],"If the Governor is not present, the meeting is chaired by whom he/she appoints or by the Deputy Governor who has served the most years in office.",,,,,,,,,,,,,,,,,,,,,,,,,,
[16],https://www.rbnz.govt.nz/monetary-policy/about-monetary-policy/monetary-policy-framework,,,,,,,,,,,,,,,,,,,,,,,,,,
[17],The Advisory Committee (AC) is a technical body which meets regularly a few days prior to each MB monetary policy meeting. The AC members agree by majority vote on a set of recommendations that are submitted to the Monetary Board.,,,,,,,,,,,,,,,,,,,,,,,,,,
[18],"Decree No. 16/2017/ND-CP on functions, responsibilities, authorities and organizational structure of the State Bank of Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,
[19],"The dates of the Monetary Policy Board meetings for monetary policy decision-making (i.e. regarding the Base Rate) for the next year are set and released near the end of the current year. However, if a policy response is needed due to rapid changes in economic conditions, the Board will hold extraordinary meetings.",,,,,,,,,,,,,,,,,,,,,,,,,,
[20],Reserves the right to announce policy changes in between regular announcement dates if needed.,,,,,,,,,,,,,,,,,,,,,,,,,,
[21],"After the MPB meeting, a press release is made available and the Governor of the Bank of Korea holds a press conference to explain the details of and the background to the decision. The minutes detailing the discussions during the meeting are made public after two weeks.",,,,,,,,,,,,,,,,,,,,,,,,,,
[22],Reserves the right to announce policy changes in between regular announcement dates if needed.,,,,,,,,,,,,,,,,,,,,,,,,,,
[23],Same as the frequency of meetings since announcements on the monetary policy decisions are made after each meeting.,,,,,,,,,,,,,,,,,,,,,,,,,,
[24],"Since 13 June 2019, the SNB has been implementing its monetary policy by setting the SNB policy rate, which took over the function previously performed by the target range for the three-month Libor.",,,,,,,,,,,,,,,,,,,,,,,,,,
[25],"The Base rate is the reference rate applied in transactions between the BOK and financial institutions such as repurchase agreements (RPs and Reverse RPs), the Bank’s lending and deposit facilities, etc. The Bank of Korea uses the Base Rate as a fixed bid rate for its sales of 7-day RPs and as the minimum bid rate for its purchases of 7-day RPs. The interest rates of liquidity adjustment deposits and loans are 100bp below and above the Base Rate, respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,
[26],One of the primary mandates of the BSP is price stability and this entails anchoring inflation expectations.,,,,,,,,,,,,,,,,,,,,,,,,,,
[27],The Policy rate is the main monetary policy instrument,,,,,,,,,,,,,,,,,,,,,,,,,,
[28],"This have just been introduced,​ and it has not been an effective instruments yet because of dollarisation and in the early stage of implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,
[29],"Decision No. 1728/QD-NHNN dated September 30, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,
[30],"The Standing Deposit Facility (SDF) was introduced on April 08, 2022 - as an additional tool to absorb liquidity without any collateral requirement. The SDF replaced the overnight fixed rate reverse repo facility as the floor of the LAF corridor. Apart from standing facilities for banks, there is collateralised liquidity support to primary dealers.",,,,,,,,,,,,,,,,,,,,,,,,,,
[31],"The Bank of Mexico uses an active strategy in the liquidity management operations given its privileged position of knowing what are the market liquidity needs. In that sense, the corridor is used to disincentivize market participants to, at the end of the day, remain either short or long in their current accounts at the central bank.",,,,,,,,,,,,,,,,,,,,,,,,,,
[32],"As of November 2022, the setting of the ON RRP offering rate was 380 bps, the interest on reserve balances rate was 390 bps, the target range for the federal funds rate was 375 to 400bps, and the primary credit, FIMA and repo minimum bid rates were all 400bps.",,,,,,,,,,,,,,,,,,,,,,,,,,
[33],As of 18 September 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
[34],"There are no Reserve requirements in Mexico, although there are remunerated mandatory deposits defined as Monetary Regulation Deposits (MRDs). The difference between the two rely in that MRDs are set indefinitely for a fixed amount based on a percentage of banksÂ´ liabilities at a determined point in time. Since 2014 a percentage of MRDs can be held in the form of debt instruments called Monetary Regulation Bonds (BREMS R) issued by the Bank of Mexico. These instruments can only be used as repo collateral with the central bank and/or with commercial and development banks.",,,,,,,,,,,,,,,,,,,,,,,,,,
[35],Banks must maintain a zero or positive balance in RTGS accounts.,,,,,,,,,,,,,,,,,,,,,,,,,,
[36],"The Federal Reserve reduced reserve requirement ratios to 0 percent, effective March 26, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,
[37],"RP = reversed purchase (repo, inject liquidity), RS=RRP=reversed sale (reverse repo, absorb liquidity), RT=reversed transaction (repo or reverse repo).",,,,,,,,,,,,,,,,,,,,,,,,,,
[38],https://www.bankofcanada.ca/markets/market-operations-liquidity-provision/market-operations-programs-and-facilities/,,,,,,,,,,,,,,,,,,,,,,,,,,
[39],"Revised liquidity framework was put in place w.e.f. February 14, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,
[40],https://www.boj.or.jp/en/mopo/measures/mkt_ope/index.htm/,,,,,,,,,,,,,,,,,,,,,,,,,,
[41],"MSBs: Monetary Stabilisation Bonds, issued by BoK, used as a structural adjustment tool whose policy effects are long lasting; MSA: Monetary Stabilisation Account, introduced in October 2010, is a market-friendly term deposit facility. It is mainly used to fine-tune the reserve levels and to cope with unexpected changes in reserve supply and demand.",,,,,,,,,,,,,,,,,,,,,,,,,,
[42],"At the moment, most of liquidity is provided via non-standard monetary policy measures (i.e. asset purchases and targeted longer-term refinancing operations).",,,,,,,,,,,,,,,,,,,,,,,,,,
[43],"Provide money market participants with certainty regarding their liquidity needs, which contributes to the stability of money markets, leading makets participants to engage in funding operations at a similar rate to the key policy rate.",,,,,,,,,,,,,,,,,,,,,,,,,,
[44],BNM can issue central bank bills; Bank Negara Monetary Notes (up to 3 years) and Bank Negara Interbank bills (up to 1 year).,,,,,,,,,,,,,,,,,,,,,,,,,,
[45],current: 2 week - 1 month: 3x/week; 3 month: 1x/week; 6-12 month: 1x/month,,,,,,,,,,,,,,,,,,,,,,,,,,
[46],Reinvestment transactions: Current directive is to allow the total amount of maturing Treasury and Agency MBS securities up to a cap be redeemed without reinvestment and to reinvest maturing amounts above the cap. Operations may also be conducted in relatively small amounts for the purpose of maintaining operational readiness.,,,,,,,,,,,,,,,,,,,,,,,,,,
[47],"The OR operation is allocated using a uniform price auction, while ORRs are are allocated on a fixed-rate and full allotment basis, up to a predetemined limit.",,,,,,,,,,,,,,,,,,,,,,,,,,
[48],"Despite the discretion, how the Bank conducts fixed-rate purchase operations for consecutive days is clarified at the monetary policy meeting. According to the directive, the Bank will offer to purchase 10-year JGBs at 0.25 percent every business day through fixed-rate purchase operations, unless it is highly likely that no bids will be submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,
[49],"Via Bloomberg, Refinitiv, Website",,,,,,,,,,,,,,,,,,,,,,,,,,
[50],"Monetary Policy Statement released twice a year in April and October. However, there may be additional off-cycle Monetary Policy Statements released.",,,,,,,,,,,,,,,,,,,,,,,,,,
[51],"Minimum exchange rate of CHF 1.20 per euro from 6 September 2011 until 15 January 2015. From 22 January 2015 to 23 September 2022, the SNB imposed negative rates on sight deposit account balances that exceed a given exemption threshold.",,,,,,,,,,,,,,,,,,,,,,,,,,
[52],"Since July 2022, the Bank of Korea started to extend the scope of its communication and signalling about future course of monetary policy.",,,,,,,,,,,,,,,,,,,,,,,,,,
[53],"In June 2022 the first forward guidance component was introduced in the monetary policy decision communiquÃ©, indicating the direction and the magnitude on the next reference rate movement if conditions required so. However, given the current context of uncertainty experienced on a local and global basis, this component was removed in August and substituted by a data dependent approach.",,,,,,,,,,,,,,,,,,,,,,,,,,
[54],"MAS also provides guidance on the appropriate level of the S$NEER within the policy band at times (See for instance, the press statement ""Comments by MAS on the Monetary Policy Stance"" released on 5 February 2020.)",,,,,,,,,,,,,,,,,,,,,,,,,,
[55],"Last 5 November 2021, the BSP decided to adjust the time of the announcement of the Monetary Board’s decision to 3:00 PM Philippine Standard Time (PST) instead of 4:00 PM PST. Doing so aligned the BSP’s monetary policy decision announcement practice with other central banks, which typically announce their respective decisions during market trading hours. This practice took effect beginning with the 18 November 2021 Monetary Board meeting on the monetary policy stance.",,,,,,,,,,,,,,,,,,,,,,,,,,
[56],"Apart from the regular announcements in April and October, MAS may choose to make off-cycle policy announcements, such as in January and July 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,
[57],Announcement of SNB policy rate: since June 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,
[58],"In February 2022, the BSP began publishing the Monetary Policy Report (MPR), replacing the quarterly BSP Inflation Report. The MPR is set to be published 4 times a year, corresponding with major forecast updates. The greater part of the report is devoted to the forward-looking discussions on inflation and the key macroeconomic variables that affect inflation, as well as the risks and uncertainty surrounding the BSP’s inflation forecasts.",,,,,,,,,,,,,,,,,,,,,,,,,,
[59],"Immediately after the main meeting, the Governor of the Bank of Korea holds a press conference to explain the detailed background to the board's Monetary policy decision.",,,,,,,,,,,,,,,,,,,,,,,,,,
[60],"The minutes, recording the details of the discussions during the main meeting, are released two weeks after the meeting",,,,,,,,,,,,,,,,,,,,,,,,,,
[61],"For instance, economic and inflation forecasts related to policy decision.",,,,,,,,,,,,,,,,,,,,,,,,,,
[62],Inflation forecasts were included in monetary policy decisions statements in order to allow market participants to have more information regarding the inflation forecast trajectories that the Board considers in each monetary policy decision.,,,,,,,,,,,,,,,,,,,,,,,,,,
[63],"If applicable, describe the publication of any fan-charts or uncertainty bands around the forecasts/projections.",,,,,,,,,,,,,,,,,,,,,,,,,,
[64],"3 year OCR projection horizon has been reintroduced, following a limited period (in 2020/2021) whereby only limited information was produced during the period of uncertainty from the COVID crisis.",,,,,,,,,,,,,,,,,,,,,,,,,,
[65],The central bank can adjust liquidity in the markets and promote financial stability by changing financial institutions' funding situation through adjustment of the reserve requirement ratios,,,,,,,,,,,,,,,,,,,,,,,,,,
[66],Monetary Regulation Deposits (MRDs) determined as a set MXN amount per banking institution based on a percentage of their liabilities at a specific point in time.,,,,,,,,,,,,,,,,,,,,,,,,,,
[67],"The Federal Reserve reduced reserve requirement ratios to 0 percent, effective March 26, 2020. This action eliminated reserve requirements for all depository institutions.",,,,,,,,,,,,,,,,,,,,,,,,,,
[68],"2010 Law on the State Bank of Vietnam, Decree No. 30/2019/TT-NHNN dated December 27, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,
[69],The Reserve Bank’s reserve requirements are not a Required Reserve Ratio (they are not set as a per cent of the financial institution’s liabilities). The Reserve Bank’s reserve requirements are set annually as an AUD amount per financial institution with the aim of ensuring that each institution has sufficient funds to settle AUD transactions after business hours. The amount is set taking into account the historical pattern of each institution’s AUD transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,
[70],"As of 1st September, reserve requirements ratio in domestic currency increased to 9% (conventional) and 7.5% (sharia).",,,,,,,,,,,,,,,,,,,,,,,,,,
[71],"With effect from May 04, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,
[72],"The financial institutions subject to the current reserve requirement regime include commercial banks and specialized banks. These institutions are required to maintain reserves corresponding to their reserve requirement ratios differentiated within a rage between 0~7% depending upon their deposit liability types. (The reserve requirement ratio on time deposits, time installment deposits, mutual installment savings for non-payment accounts, installments for home buying, and CDs is 2%, and that on other deposits is 7%.) The MPB may determine reserve requirement ratios within a range not exceeding 50% for different types or scales of liabilities subject to reserve requirements. In periods of pronounced monetary expansion, however, the MPB may impose marginal reserve requirements of up to 100% against any increase in liabilities subject to reserve requirements above the amount outstanding as of the date specified, thus making financial institutions maintain additional required reserves.",,,,,,,,,,,,,,,,,,,,,,,,,,
[73],Monetary Regulation Deposits (MRDs) determined as a set MXN amount per banking institution based on a percentage of their liabilities at a specific point in time.,,,,,,,,,,,,,,,,,,,,,,,,,,
[74],New required reserved effective from 20 March 2020. All banking institutions may recognise holdings of long term government bond as part of their SRR compliance effective 16 May 2020 until 31 December 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,
[75],"Rate applicable to universal and commercial banks (U/KB). There are no reserve requirements on foreign currency deposits (FCDs). However, banks are required to have 100 percent asset cover on FCDs.",,,,,,,,,,,,,,,,,,,,,,,,,,
[76],"The reserve requirement base includes all types of deposits, borrowing through issuance of bills of exchange and promissory notes, short-term foreign borrowings maturing within one year, and other borrowings with index-linked returns or embedded finanical derivatives",,,,,,,,,,,,,,,,,,,,,,,,,,
[77],"The Federal Reserve reduced reserve requirement ratios to 0 percent, effective March 26, 2020. This action eliminated reserve requirements for all depository institutions.",,,,,,,,,,,,,,,,,,,,,,,,,,
[78],"Decision No. 1158/QD-NHNN of the Governor of the State Bank of Vietnam dated May 29, 2018 on required reserve ratio applied for credit institutions and foreign bank branches, valid from June 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,
[79],Reserve requirement ratios of the Turkish lira denominated liabilities are differentiated by liability types and maturities. TL reserve requirement ratio for financing companies' Turkish lira commercial loan extension is 20%.,,,,,,,,,,,,,,,,,,,,,,,,,,
[80],"Decision No. 1158/QD-NHNN of the Governor of the State Bank of Vietnam dated May 29, 2018 on required reserve ratio applied for credit institutions and foreign bank branches, valid from June 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,
[81],"Reserve requirement ratios of the foreign currency denominated liabilities are differentiated by liability types and maturities. Also reserve requirement ratios for FX deposits were differentiated according to the conversion rate from FX accounts to TL accounts since June 2022. Additional FX requirement ratios are 500 basis points for banks with a conversion rate below 10% (5% between June 2022-September 2022), and 300 basis points for banks with a conversion rate between 10%-20% (5-10% between June 2022-September 2022).",,,,,,,,,,,,,,,,,,,,,,,,,,
[82],The Reserve Bank’s reserve requirements are not a Required Reserve Ratio (they are not set as a per cent of the financial institution’s liabilities). The Reserve Bank’s reserve requirements are set annually as an AUD amount per financial institution with the aim of ensuring that each institution has sufficient funds to settle AUD transactions after business hours. The amount is set taking into account the historical pattern of each institution’s AUD transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,
[83],Corresponds to the ratio between total required reserves and the reserves base (liabilities) as of Sep/2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[84],Bi-week period,,,,,,,,,,,,,,,,,,,,,,,,,,
[85],Required reserve balances / Liabilities subject to reserve requirement of Jun. 2022 reserve maintenance period.,,,,,,,,,,,,,,,,,,,,,,,,,,
[86],"Minimum Reserve Requirement Ratio, 7% of reserve base",,,,,,,,,,,,,,,,,,,,,,,,,,
[87],As of June 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,
[88],As of the calculation date of 28 October 2022 with the maintenance period starting on 11 November 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,
[89],As of Sep/2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[90],As of reporting period June 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,
[91],As of August 2 of 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[92],With reserves in domestic currency as of 30 September 2022 and 2021 GDP.,,,,,,,,,,,,,,,,,,,,,,,,,,
[93],"Required reserves as on July 31, 2022, and exchange rate as of July 29, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
[94],Daily average of Jul. 2022 reserve maintenance period.,,,,,,,,,,,,,,,,,,,,,,,,,,
[95],As of 29 July-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[96],As of June 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,
[97],"During March 2020, the central bank decided to reduce the amount commercial and development banks held in DRMs by 50 billion MXN. From the total amount outstanding, approximately MXN 168 billion are held in cash deposits and MXN 102 billion are held in the form of BREMS R",,,,,,,,,,,,,,,,,,,,,,,,,,
[98],As of 20 March 2020,,,,,,,,,,,,,,,,,,,,,,,,,,
[99],As of April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[100],For UKBs as of 31 July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[101],Required and Actual Reserves is the average reserves in July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[102],"The Federal Reserve reduced reserve requirement ratios to 0 percent, effective March 26, 2020. This action eliminated reserve requirements for all depository institutions.",,,,,,,,,,,,,,,,,,,,,,,,,,
[103],As of July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[104],"As of maintenance period starting on 11 November 2022, total size of the required reserves is TRY 200 bn and USD 72 bn equivalent of FX and gold.",,,,,,,,,,,,,,,,,,,,,,,,,,
[105],As of Sep/2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[106],With reserves in domestic currency as of 30 June 2022 and 2021 GDP.,,,,,,,,,,,,,,,,,,,,,,,,,,
[107],"Nominal GDP figures for FY2021-22 and required reserves as of July 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
[108],"Daily average of Jul. 2022 reserve maintenance period as a percent of Nominal GDP (2022-2Q, s.a., ann.).",,,,,,,,,,,,,,,,,,,,,,,,,,
[109],GDP for July 2022 : KHR 110.664 Trn,,,,,,,,,,,,,,,,,,,,,,,,,,
[110],As of June 2022. GDP as of 2021.,,,,,,,,,,,,,,,,,,,,,,,,,,
[111],As a percent of 2021 nominal GDP.,,,,,,,,,,,,,,,,,,,,,,,,,,
[112],As a percentage of Q4 2021 nominal GDP. Calculated only for domestic currency reserves.,,,,,,,,,,,,,,,,,,,,,,,,,,
[113],Against 2021 Nominal GDP (PHP 19.410 trillion),,,,,,,,,,,,,,,,,,,,,,,,,,
[114],Latest available GDP is for 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
[115],Reserves in a percentage of 2019 GDP,,,,,,,,,,,,,,,,,,,,,,,,,,
[116],Based on Q1 2022 GDP of R4 612 502 million,,,,,,,,,,,,,,,,,,,,,,,,,,
[117],Yearly GDP of Turkey was TRY 12.6 trn at 2022Q3.,,,,,,,,,,,,,,,,,,,,,,,,,,
[118],As of Sep/2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[119],Reserves are measured as Lynx Participants' settlement balances at the Bank of Canada. Data as of June 30 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[120],"Eligible reserves consisting of sum of banknotes, coins and sight deposits of domestic banks as of reporting period June 2022. Total sight deposits amounted to CHF 740.46 bn as of end of June 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,
[121],Estimation of reserves on average.,,,,,,,,,,,,,,,,,,,,,,,,,,
[122],As of August 2 of 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[123],From Bank of England weekly report - as at 14 September,,,,,,,,,,,,,,,,,,,,,,,,,,
[124],With reserves in domestic currency as of 30 June 2022 and 2021 GDP.,,,,,,,,,,,,,,,,,,,,,,,,,,
[125],"Actual reserves as on July 31, 2022 and exchange rate as of July 29, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
[126],Reserve balances held by institutions subject to reserve requirements as of Jul. 31 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,
[127],As of 29 July-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[128],As of June 2022. Cash in vaults plus Deposits at BOK.,,,,,,,,,,,,,,,,,,,,,,,,,,
[129],"During March 2020, the central bank decided to reduce the amount commercial and development banks held in DRMs by 50 billion MXN. From the total amount oustanding, approximately MXN 168 billion are held in cash deposits and MXN 102 billion are held in the form of BREMS R",,,,,,,,,,,,,,,,,,,,,,,,,,
[130],The actual reserves represents only the cash portion of SRR. The remaining reserves are in the form of MGS and MGII.,,,,,,,,,,,,,,,,,,,,,,,,,,
[131],As of April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[132],For UKBs as of 31 July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[133],Required and Actual Reserves is the average reserves in July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[134],Reserves are measured as banks' deposits at the Federal Reserve. Data are as of November 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,
[135],As of July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[136],As of 25 November 2022 total size of the actual reserves is 122.6 billion USD equivalent of FX and gold.,,,,,,,,,,,,,,,,,,,,,,,,,,
[137],As of Sep/2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[138],Reserves as a percentage of 2021 GDP.,,,,,,,,,,,,,,,,,,,,,,,,,,
[139],With reserves in domestic currency as of 30 June 2022 and 2021 GDP.,,,,,,,,,,,,,,,,,,,,,,,,,,
[140],"Nominal GDP figures for FY2021-22 and actual reserves as of July 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
[141],"Reserve balances held by institutions subject to reserve requirements as of Jul. 31 2022 as a percent of Nominal GDP (2022-2Q, s.a., ann.).",,,,,,,,,,,,,,,,,,,,,,,,,,
[142],GDP for July 2022 : KHR 110.664 Trn,,,,,,,,,,,,,,,,,,,,,,,,,,
[143],As of June 2022. GDP as of 2021.,,,,,,,,,,,,,,,,,,,,,,,,,,
[144],As a percent of 2021 nominal GDP.,,,,,,,,,,,,,,,,,,,,,,,,,,
[145],As a percentage of Q4 2021 nominal GDP. Calculated only for domestic currency reserves.,,,,,,,,,,,,,,,,,,,,,,,,,,
[146],Against 2021 Nominal GDP (PHP 19.410 trillion),,,,,,,,,,,,,,,,,,,,,,,,,,
[147],Reserves in a percentage of 2019 GDP,,,,,,,,,,,,,,,,,,,,,,,,,,
[148],Reserves as of November 2022 as a percent of 2022 Q3 Nominal GDP.,,,,,,,,,,,,,,,,,,,,,,,,,,
[149],Based on Q1 2022 GDP of R4 612 502 million,,,,,,,,,,,,,,,,,,,,,,,,,,
[150],Yearly GDP of Turkiye was TRY 12.6 trn at 2022Q3.,,,,,,,,,,,,,,,,,,,,,,,,,,
[151],With the exception of CCP participants.,,,,,,,,,,,,,,,,,,,,,,,,,,
[152],The fulfilment of required reserves is in daily and average forms.,,,,,,,,,,,,,,,,,,,,,,,,,,
[153],Daily monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,
[154],Monetary Regulation Deposits (MRDs) determined as a set of MXN amount per banking institution based on a percentage of their liabilities at a specific point in time.,,,,,,,,,,,,,,,,,,,,,,,,,,
[155],Daily shortfall or excess limited to 20% of required reserve.,,,,,,,,,,,,,,,,,,,,,,,,,,
[156],"Circular No. 30/2019/TT-NHNN dated December 27, 2019 providing for the implementation of required reserve by credit institutions and foreign bank branches",,,,,,,,,,,,,,,,,,,,,,,,,,
[157],All of TRY denominated required reserves is maintained on average over the maintenance period. Maximum 8% of the FX RR liability base can be maintained on average over the maintenance period.,,,,,,,,,,,,,,,,,,,,,,,,,,
[158],"No carry-over, but reserves are remunerated if on average over a maintenance period they are within a range around the reserves target.",,,,,,,,,,,,,,,,,,,,,,,,,,
[159],"Banks are allowed to offset reserve deficiencies occurring on one or more days of the reference week with any excess reserves held on other days of the same reference week. However, appropriate monetary penalties, as may be prescribed by the MB, will apply should the bank end up with a net deficit position for the reference week. Additionally, the BSP revokes a bank’s offsetting privileges if it incurs deficiencies on at least four (4) or more times per reference week for two consecutive weeks, whether or not resulting in net wekely deficiencies.",,,,,,,,,,,,,,,,,,,,,,,,,,
[160],Maximum 5% of the Turkish lira required reserves may be carried over to the next period.,,,,,,,,,,,,,,,,,,,,,,,,,,
[161],The Reserve Bank’s reserve requirements are not a Required Reserve Ratio (they are not set as a per cent of the financial institution’s liabilities). The Reserve Bank’s reserve requirements are set annually as an AUD amount per financial institution with the aim of ensuring that each institution has sufficient funds to settle AUD transactions after business hours. The amount is set taking into account the historical pattern of each institution’s AUD transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,
[162],Changed from a contemporaneous system to a lagged system in October 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,
[163],"2010 Law on the State Bank of Vietnam, Circular No. 30/2019/TT-NHNN dated December 27, 2019 providing for the implementation of required reserve by credit institutions and foreign bank branches",,,,,,,,,,,,,,,,,,,,,,,,,,
[164],The reserve maintenance period is from the Thursday of the second week of the following month to the Wednesday of the second week of the month after the following month.,,,,,,,,,,,,,,,,,,,,,,,,,,
[165],"Circular No. 30/2019/TT-NHNN dated December 27, 2019 providing for the implementation of required reserve by credit institutions and foreign bank branches",,,,,,,,,,,,,,,,,,,,,,,,,,
[166],The exact day varies from time to time and is based on regulation,,,,,,,,,,,,,,,,,,,,,,,,,,
[167],The liabilities subject to reserve requirements are calculated as of Fridays every two weeks.,,,,,,,,,,,,,,,,,,,,,,,,,,
[168],The Reserve Bank’s reserve requirements are not a Required Reserve Ratio (they are not set as a per cent of the financial institution’s liabilities). The Reserve Bank’s reserve requirements are set annually as an AUD amount per financial institution with the aim of ensuring that each institution has sufficient funds to settle AUD transactions after business hours. The amount is set taking into account the historical pattern of each institution’s AUD transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,
[169],The reserve calculation period is from the first day to the last day of every month.,,,,,,,,,,,,,,,,,,,,,,,,,,
[170],"Circular No. 30/2019/TT-NHNN dated December 27, 2019 providing for the implementation of required reserve by credit institutions and foreign bank branches",,,,,,,,,,,,,,,,,,,,,,,,,,
[171],There are 14 days lag before maintenance.,,,,,,,,,,,,,,,,,,,,,,,,,,
[172],The Reserve Bank’s reserve requirements are not a Required Reserve Ratio (they are not set as a per cent of the financial institution’s liabilities). The Reserve Bank’s reserve requirements are set annually as an AUD amount per financial institution with the aim of ensuring that each institution has sufficient funds to settle AUD transactions after business hours. The amount is set taking into account the historical pattern of each institution’s AUD transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,
[173],The exact day varies from time to time and is based on regulation,,,,,,,,,,,,,,,,,,,,,,,,,,
[174],The liabilities subject to reserve requirements are calculated as of Fridays every two weeks.,,,,,,,,,,,,,,,,,,,,,,,,,,
[175],The Reserve Bank’s reserve requirements are not a Required Reserve Ratio (they are not set as a per cent of the financial institution’s liabilities). The Reserve Bank’s reserve requirements are set annually as an AUD amount per financial institution with the aim of ensuring that each institution has sufficient funds to settle AUD transactions after business hours. The amount is set taking into account the historical pattern of each institution’s AUD transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,
[176],"Circular No. 30/2019/TT-NHNN dated December 27, 2019 providing for the implementation of required reserve by credit institutions and foreign bank branches",,,,,,,,,,,,,,,,,,,,,,,,,,
[177],"Circular No. 30/2019/TT-NHNN dated December 27, 2019 providing for the implementation of required reserve by credit institutions and foreign bank branches",,,,,,,,,,,,,,,,,,,,,,,,,,
[178],Up to 35% of required reserves.,,,,,,,,,,,,,,,,,,,,,,,,,,
[179],Up to 0.2% of the 1% requirement.,,,,,,,,,,,,,,,,,,,,,,,,,,
[180],"Effective on 1st August 2020 for banks which are meeting the daily and average rupiah reserve requirements. Remunerations are given 1.5% (per year) on certain part of required reserve. As of 1st June 2022, particular part of required reserve that gets remunerations are 5% (conventional) or 3.5% (sharia). As of 1st July 2022, particular part of required reserve that gets remunerations are 6.5% (conventional) or 5% (sharia). This particular part of required reserve that gets remuneration will increase to 7% (conventional) or 5.5% (sharia) on 1st September 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,
[181],"No interest payments are made on reserve deposits with the central bank. However, if necessary, reserve deposits can be remunerated, as determined by the MPB.",,,,,,,,,,,,,,,,,,,,,,,,,,
